,Id,PID,MS Zoning,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Matl,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Sale Type,SalePrice,Bathrooms,Pool,Year Sold,Yrs Since Constr or Remod,Built after 2005,Inflation Multiplier,HQ SF,Proximity to Pos Feat,Exter Qual x Cond,Garage Qual x Cond,Bsmt Qual x Cond,Bldg Type_1Fam,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,Roof Style_Flat,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Exterior 1st_AsbShng,Exterior 1st_AsphShn,Exterior 1st_BrkComm,Exterior 1st_BrkFace,Exterior 1st_CBlock,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_ImStucc,Exterior 1st_MetalSd,Exterior 1st_Plywood,Exterior 1st_Stone,Exterior 1st_Stucco,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Exterior 1st_WdShing,Exterior 2nd_AsbShng,Exterior 2nd_AsphShn,Exterior 2nd_Brk Cmn,Exterior 2nd_BrkFace,Exterior 2nd_CBlock,Exterior 2nd_CmentBd,Exterior 2nd_HdBoard,Exterior 2nd_ImStucc,Exterior 2nd_MetalSd,Exterior 2nd_Plywood,Exterior 2nd_Stone,Exterior 2nd_Stucco,Exterior 2nd_VinylSd,Exterior 2nd_Wd Sdng,Exterior 2nd_Wd Shng,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Central Air_N,Central Air_Y,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,Functional_Maj1,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sal,Functional_Sev,Functional_Typ,Paved Drive_N,Paved Drive_P,Paved Drive_Y,MS SubClass_20,MS SubClass_30,MS SubClass_40,MS SubClass_45,MS SubClass_50,MS SubClass_60,MS SubClass_70,MS SubClass_75,MS SubClass_80,MS SubClass_85,MS SubClass_90,MS SubClass_120,MS SubClass_150,MS SubClass_160,MS SubClass_180,MS SubClass_190,Yr Sold_2006,Yr Sold_2007,Yr Sold_2008,Yr Sold_2009,Yr Sold_2010,USD_per_sqft,Good Nhood,Pref House Style,Pref Garage Type,Sold as New,Gtl Land Slope,Pref Lot Config,Zone RL,Pref Mas Vnr
0,109,533352170,RL,116.26263372210352,13517,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,2Story,6,8,1976,2005,CompShg,BrkFace,289.0,4,3,3.0,3.0,No,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,5,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,0,0.0,Attchd,1976.0,RFn,2.0,475.0,3.0,3.0,0,44,0,0,0,0,0,3,WD ,130500,2.5,0,2010,5,1,4,1479,0,12,9.0,9.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88.23529411764706,2,1,1,0,1,1,1,1
1,544,531379050,RL,43.0,11492,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,2Story,7,5,1996,1997,CompShg,BrkFace,132.0,4,3,4.0,3.0,No,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,5,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,1,3.0,Attchd,1997.0,RFn,2.0,559.0,3.0,3.0,0,74,0,0,0,0,0,4,WD ,220000,2.5,0,2009,12,1,3,2122,0,12,9.0,12.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,103.67577756833177,1,1,1,0,1,1,1,1
2,153,535304180,RL,68.0,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Story,5,7,1953,2007,CompShg,None,0.0,3,4,3.0,3.0,No,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,3,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,0,0.0,Detchd,1953.0,Unf,1.0,246.0,3.0,3.0,0,52,0,0,0,0,0,1,WD ,109000,1.0,0,2010,3,1,4,1057,0,12,9.0,9.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103.12204351939451,1,1,0,0,1,1,1,0
3,318,916386060,RL,73.0,9802,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,2Story,5,5,2006,2007,CompShg,None,0.0,3,3,4.0,3.0,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,4,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,0,0.0,BuiltIn,2007.0,Fin,2.0,400.0,3.0,3.0,100,0,0,0,0,0,0,4,WD ,174000,2.5,0,2010,3,1,4,1444,0,9,9.0,12.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120.49861495844875,3,1,1,0,1,1,1,0
4,255,906425045,RL,82.0,14235,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1.5Fin,6,8,1900,1993,CompShg,None,0.0,3,3,2.0,4.0,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,3,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,0,0.0,Detchd,1957.0,Unf,2.0,484.0,3.0,3.0,0,59,0,0,0,0,0,3,WD ,138500,2.0,0,2010,17,1,4,1445,0,9,9.0,8.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95.8477508650519,1,0,0,0,1,1,1,0
5,138,535126040,RL,137.0,16492,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Story,6,6,1966,2002,CompShg,None,0.0,4,3,3.0,3.0,No,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,5,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,1,4.0,Attchd,1966.0,Fin,2.0,578.0,3.0,3.0,0,0,0,0,0,0,0,6,WD ,190000,2.5,0,2010,8,1,4,1888,1,12,9.0,9.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.63559322033899,1,1,1,0,1,0,1,0
6,2827,908186070,RM,35.0,3675,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,SFoyer,6,5,2005,2006,CompShg,BrkFace,82.0,3,3,4.0,3.0,Gd,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,4,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,0,0.0,Basment,2005.0,Fin,2.0,525.0,3.0,3.0,0,44,0,0,0,0,0,6,New,140000,2.0,0,2006,0,1,0,1072,0,9,9.0,12.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,130.59701492537314,1,0,0,1,1,1,0,1
7,145,535154050,RL,110.27239001672177,12160,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Story,5,5,1959,1959,CompShg,BrkFace,180.0,3,3,3.0,3.0,No,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,3,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,0,0.0,Attchd,1959.0,RFn,2.0,531.0,3.0,3.0,0,0,0,0,0,0,0,5,COD,142000,1.0,0,2010,51,1,4,1188,0,9,9.0,9.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119.52861952861953,1,1,1,0,1,1,1,1
8,1942,535353130,RL,125.63041033125698,15783,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Story,5,5,1952,1952,CompShg,None,0.0,3,3,3.0,3.0,No,Rec,292.0,Unf,0.0,632.0,924.0,GasA,3,924,0,0,924,0.0,0.0,1,0,2,1,3,6,0,0.0,Detchd,1952.0,Unf,1.0,420.0,3.0,3.0,0,324,0,0,0,0,400,6,WD ,112500,1.0,0,2007,55,1,1,924,0,9,9.0,9.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,121.75324675324676,0,1,0,0,1,1,1,0
9,1956,535426130,RL,70.0,11606,Pave,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,2Story,5,5,1969,1969,CompShg,BrkFace,192.0,3,3,4.0,3.0,Av,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,3,1040,1040,0,2080,0.0,1.0,1,2,5,1,3,9,2,3.0,Attchd,1969.0,Unf,2.0,504.0,3.0,3.0,335,0,0,0,0,0,0,9,WD ,135000,2.0,0,2007,38,1,1,2080,0,9,9.0,12.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64.90384615384616,1,1,1,0,0,1,1,1
